Store_Name,Discount,link,Scraped_Date
MyDeal.com.au,Up to 3.50% Cashback,https://www.shopback.com.au/mydeal?feature_id=7696&feature_name=MyDeal.com.au&feature_type=sboc-baseline&feature_position=21&merchant_id=7696&merchant_name=MyDeal.com.au&offer_id=7696&offer_type=oc&offer_name=MyDeal.com.au&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7696,2023/04/01
Best & Less,3.50% Cashback,https://www.shopback.com.au/best-and-less?feature_id=9848&feature_name=Best+%26+Less&feature_type=sboc-baseline&feature_position=22&merchant_id=9848&merchant_name=Best+%26+Less&offer_id=9848&offer_type=oc&offer_name=Best+%26+Less&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_9848,2023/04/01
Rebel Sport,Up to 2.25% Cashback,https://www.shopback.com.au/rebel?feature_id=8369&feature_name=Rebel+Sport&feature_type=sboc-baseline&feature_position=23&merchant_id=8369&merchant_name=Rebel+Sport&offer_id=8369&offer_type=oc&offer_name=Rebel+Sport&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8369,2023/04/01
Bonds,Up to 8.00% Cashback,https://www.shopback.com.au/bonds?feature_id=7816&feature_name=Bonds&feature_type=sboc-baseline&feature_position=24&merchant_id=7816&merchant_name=Bonds&offer_id=7816&offer_type=oc&offer_name=Bonds&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=upsize&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7816,2023/04/01
Adore Beauty,Up to 3.00% Cashback,https://www.shopback.com.au/adore-beauty?feature_id=8350&feature_name=Adore+Beauty&feature_type=sboc-baseline&feature_position=25&merchant_id=8350&merchant_name=Adore+Beauty&offer_id=8350&offer_type=oc&offer_name=Adore+Beauty&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8350,2023/04/01
eBay Plus,Up to $15 Cashback,https://www.shopback.com.au/ebay-plus-membership?feature_id=70179&feature_name=eBay+Plus&feature_type=sboc-baseline&feature_position=26&merchant_id=70179&merchant_name=eBay+Plus&offer_id=70179&offer_type=oc&offer_name=eBay+Plus&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_70179,2023/04/01
adidas,10.00% Cashback,https://www.shopback.com.au/adidas?feature_id=8391&feature_name=adidas&feature_type=sboc-baseline&feature_position=27&merchant_id=8391&merchant_name=adidas&offer_id=8391&offer_type=oc&offer_name=adidas&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=upsize&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8391,2023/04/01
Compare Electricity and Gas,Up to $112.00 Cashback,https://www.shopback.com.au/compare-electricity-gas?feature_id=70930&feature_name=Compare+Electricity+and+Gas&feature_type=sboc-baseline&feature_position=28&merchant_id=70930&merchant_name=Compare+Electricity+and+Gas&offer_id=70930&offer_type=oc&offer_name=Compare+Electricity+and+Gas&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_70930,2023/04/01
DoorDash,Up to $8.50 Cashback,https://www.shopback.com.au/doordash-australia?feature_id=63755&feature_name=DoorDash&feature_type=sboc-baseline&feature_position=29&merchant_id=63755&merchant_name=DoorDash&offer_id=63755&offer_type=oc&offer_name=DoorDash&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=upsize&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_63755,2023/04/01
Petbarn,1.20% Cashback,https://www.shopback.com.au/petbarn?feature_id=7989&feature_name=Petbarn&feature_type=sboc-baseline&feature_position=30&merchant_id=7989&merchant_name=Petbarn&offer_id=7989&offer_type=oc&offer_name=Petbarn&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7989,2023/04/01
ASOS,Up to 3.00% Cashback,https://www.shopback.com.au/asos?feature_id=8436&feature_name=ASOS&feature_type=sboc-baseline&feature_position=31&merchant_id=8436&merchant_name=ASOS&offer_id=8436&offer_type=oc&offer_name=ASOS&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_8436,2023/04/01
eBay,Up to 4.00% Cashback,https://www.shopback.com.au/ebay?feature_id=25493&feature_name=eBay&feature_type=sboc-baseline&feature_position=32&merchant_id=25493&merchant_name=eBay&offer_id=25493&offer_type=oc&offer_name=eBay&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_25493,2023/04/01
OzSale,Up to 2.70% Cashback,https://www.shopback.com.au/ozsale?feature_id=22448&feature_name=OzSale&feature_type=sboc-baseline&feature_position=33&merchant_id=22448&merchant_name=OzSale&offer_id=22448&offer_type=oc&offer_name=OzSale&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_22448,2023/04/01
Sephora,Up to 5.50% Cashback,https://www.shopback.com.au/sephora?feature_id=7820&feature_name=Sephora&feature_type=sboc-baseline&feature_position=34&merchant_id=7820&merchant_name=Sephora&offer_id=7820&offer_type=oc&offer_name=Sephora&content_source_name=SBOC+Baseline&curation_name=reco-sboc-merchants&curation_id=model-leading-AU&opportunity_type=baseline&ui_element_id=701&ui_element_name=All+Stores&ui_element_type=unit_grid&ui_element_title=All+Stores&screen_id=%2Fall--stores&screen_type=campaign&screen_name=%2Fall--stores&layout_id=38&layout_name=all_stores&content_uid=msMha65Q36uoUmGo9SAbCx_38_701_7820,2023/04/01
